2001,Jhonnier Ortega,jhonnier.ortega@correo.com,3,4.5,3.8,4.2
2002,Mateo Aristizabal,mateo.aris@correo.com,2,3.5,4.0
2003,Valeria Restrepo,valeria.res@correo.com,4,4.8,4.9
2004,Santiago Caicedo,santi.cai@correo.com,1,3.0,3.2
2005,Camila Mosquera,camila.mos@correo.com,5,4.1,4.3,4.0
2006,Alejandro Holguin,alejo.hol@correo.com,3,3.9,3.7
2007,Daniela Mina,daniela.mina@correo.com,2,4.6,4.2
2008,Sebastian Obando,sebas.oba@correo.com,6,3.8,4.0,4.1
2009,Isabella Lasso,isa.lasso@correo.com,4,4.7,4.5
2010,Nicolas Echeverry,nico.eche@correo.com,1,3.4,3.6
2011,Mariana Palacios,mariana.pal@correo.com,3,4.2,4.4
2012,Samuel Burbano,samuel.bur@correo.com,2,3.1,3.5
2013,Natalia Chaves,natalia.cha@correo.com,5,4.9,4.8,5.0
2014,Kevin Giraldo,kevin.gira@correo.com,4,3.6,3.9
2015,Gabriela Prado,gaby.prado@correo.com,1,4.0,4.1
2016,Diego Lucumi,diego.luc@correo.com,6,3.7,3.8,3.9
2017,Valentina Erazo,vale.erazo@correo.com,3,4.3,4.5
2018,Andres Villota,andres.vil@correo.com,2,3.3,3.7
2019,Sofia Hurtado,sofia.hur@correo.com,5,4.6,4.7,4.4
2020,Juan David Ocoro,juan.ocoro@correo.com,4,3.9,4.1
